TeamName,Name,Email,Game,Skill,Role
Team 14,Participant_73,user73@university.edu,DOTA 2,8,Defender
Team 14,Participant_69,user69@university.edu,CS:GO,5,Supporter
Team 14,Participant_92,user92@university.edu,Basketball,7,Attacker
Team 15,Participant_100,user100@university.edu,CS:GO,7,Coordinator
Team 15,Participant_99,user99@university.edu,Valorant,3,Supporter
Team 15,Participant_38,user38@university.edu,Valorant,1,Defender
Team 16,Participant_58,user58@university.edu,Valorant,3,Defender
Team 16,Participant_60,user60@university.edu,CS:GO,4,Coordinator
Team 16,Participant_17,user17@university.edu,CS:GO,10,Attacker
Team 17,Participant_91,user91@university.edu,FIFA,10,Strategist
Team 17,Participant_9,user9@university.edu,CS:GO,6,Supporter
Team 17,Participant_65,user65@university.edu,DOTA 2,7,Coordinator
Team 18,Participant_88,user88@university.edu,FIFA,4,Defender
Team 18,Participant_90,user90@university.edu,Chess,5,Coordinator
Team 18,Participant_47,user47@university.edu,DOTA 2,10,Attacker
Team 19,Participant_16,user16@university.edu,CS:GO,6,Strategist
Team 19,Participant_51,user51@university.edu,FIFA,2,Strategist
Team 19,Participant_83,user83@university.edu,DOTA 2,10,Defender
Team 20,Participant_13,user13@university.edu,DOTA 2,4,Defender
Team 20,Participant_12,user12@university.edu,DOTA 2,3,Attacker
Team 20,Participant_89,user89@university.edu,Chess,6,Supporter
Team 21,Participant_85,user85@university.edu,Basketball,10,Coordinator
Team 21,Participant_81,user81@university.edu,FIFA,10,Strategist
Team 21,Participant_20,user20@university.edu,Valorant,3,Coordinator
Team 22,Participant_70,user70@university.edu,Basketball,1,Coordinator
Team 22,Participant_87,user87@university.edu,Basketball,4,Attacker
Team 22,Participant_71,user71@university.edu,Chess,8,Strategist
Team 23,Participant_52,user52@university.edu,FIFA,2,Attacker
Team 23,Participant_57,user57@university.edu,CS:GO,7,Attacker
Team 23,Participant_23,user23@university.edu,CS:GO,3,Defender
Team 24,Participant_34,user34@university.edu,FIFA,7,Supporter
Team 24,Participant_3,user3@university.edu,FIFA,4,Defender
Team 24,Participant_8,user8@university.edu,Valorant,10,Defender
Team 25,Participant_67,user67@university.edu,Basketball,1,Attacker
Team 25,Participant_33,user33@university.edu,FIFA,7,Defender
Team 25,Participant_26,user26@university.edu,Chess,8,Strategist
Team 26,Participant_1,user1@university.edu,Chess,2,Strategist
Team 26,Participant_78,user78@university.edu,FIFA,6,Defender
Team 26,Participant_77,user77@university.edu,FIFA,2,Attacker
Team 27,Participant_31,user31@university.edu,Basketball,8,Strategist
Team 27,Participant_54,user54@university.edu,Valorant,8,Supporter
Team 27,Participant_95,user95@university.edu,CS:GO,2,Coordinator
Team 28,Participant_40,user40@university.edu,Chess,9,Coordinator
Team 28,Participant_66,user66@university.edu,Chess,1,Strategist
Team 28,Participant_53,user53@university.edu,DOTA 2,7,Defender
Team 29,Participant_4,user4@university.edu,Basketball,4,Supporter
Team 29,Participant_36,user36@university.edu,Chess,9,Strategist
Team 29,Participant_14,user14@university.edu,FIFA,3,Supporter
Team 30,Participant_10,user10@university.edu,Valorant,5,Coordinator
Team 30,Participant_39,user39@university.edu,FIFA,5,Supporter
Team 30,Participant_56,user56@university.edu,Basketball,4,Strategist
Team 31,Participant_82,user82@university.edu,Valorant,10,Attacker
Team 31,Participant_93,user93@university.edu,CS:GO,4,Defender
Team 31,Participant_50,user50@university.edu,Basketball,5,Coordinator
Team 32,Participant_64,user64@university.edu,CS:GO,6,Supporter
Team 32,Participant_18,user18@university.edu,FIFA,3,Defender
Team 32,Participant_74,user74@university.edu,FIFA,3,Supporter
Team 33,Participant_19,user19@university.edu,FIFA,9,Supporter
Team 33,Participant_42,user42@university.edu,DOTA 2,7,Attacker
Team 33,Participant_62,user62@university.edu,Basketball,6,Attacker
Team 34,Participant_94,user94@university.edu,CS:GO,2,Supporter
